松视频道,#genre#
惊艳台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
潘朵啦,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
彩虹,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
松視1,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松視2,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松視3,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts

传媒频道,#genre#
松視1频道,http://livek.mzyika.cn/live/e616903fcee126638e2b76650fbf5de6.flv
松視2频道,http://livek.mzyika.cn/live/d116a93c64633b135fc278a276147801.flv 
松視3频道,http://livek.mzyika.cn/live/5e1eff17d716405013eccacdf4073b30.flv 
彩虹E频道,http://livek.mzyika.cn/live/82eae9bcfac169f6bf4cf5b40b74b99d.flv 
彩虹K频道,http://livek.mzyika.cn/live/7ca0c65bce62f05ddc287289c3d800b9.flv 
彩虹电影台,http://livek.mzyika.cn/live/0787061a494e49214bec254c3aa55914.flv
潘朵啦玩美,http://livek.mzyika.cn/live/441d5fd22d3465c66cfb126de20f93bf.flv 
惊艳电影,http://livek.mzyika.cn/live/799b1593c42c0ee0aa5ffae52ce87617.flv 
香蕉台HD,http://livek.mzyika.cn/live/5d10134f7f76681ccfca39154c95a3f5.flv
happyHD,http://livek.mzyika.cn/live/e7c71f3cb18ef6b3c77ae66776b3212c.flv 
極限電影,http://livek.mzyika.cn/live/c0481fbdddf8ce9f7e9d47794d3168cd.flv 
乐活频道,http://v-monitor.namitiyu.com/live/a1149ee6276339b4ea1b517502d53d40.flv
